player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Kristin THORLEIFSDÓTTIR,HHE,Horsens Håndbold Elite,1586.3,29,PL,False,LEGENDARY,293.3
Mai KRAGBALLE,HHE,Horsens Håndbold Elite,1579.8,29,PL,False,LEGENDARY,250.5
Annika MEYER,HHE,Horsens Håndbold Elite,1314.6,30,ST,False,ELITE,159.1
Majbritt Toft HANSEN,HHE,Horsens Håndbold Elite,1294.3,27,ST,False,ELITE,68.0
Laura DAMGAARD,HHE,Horsens Håndbold Elite,1198.3,6,PL,False,NORMAL,13.7
Hege LØKEN,HHE,Horsens Håndbold Elite,1194.2,27,HF,False,NORMAL,137.2
Melanie BAK,HHE,Horsens Håndbold Elite,1172.2,22,HF,False,NORMAL,93.7
Elin HANSSON,HHE,Horsens Håndbold Elite,1153.2,29,VF,False,NORMAL,138.2
Faye JANSON,HHE,Horsens Håndbold Elite,1113.2,21,PL,False,NORMAL,98.2
Anne-Sofie FILTENBORG,HHE,Horsens Håndbold Elite,1104.0,12,HF,False,NORMAL,15.4
Emily Stang SANDO,HHE,Horsens Håndbold Elite,1098.5,5,MV,True,NORMAL,4.8
Dicte ANDERSEN,HHE,Horsens Håndbold Elite,1083.9,4,PL,False,NORMAL,6.0
Maria HØJGAARD,HHE,Horsens Håndbold Elite,1082.6,5,VF,False,NORMAL,2.4
Annette WIRÉN LARSEN,HHE,Horsens Håndbold Elite,1061.2,7,ST,False,NORMAL,46.2
Smilla HEDE,HHE,Horsens Håndbold Elite,1021.0,7,VB,False,NORMAL,6.0
Sille SORTH,HHE,Horsens Håndbold Elite,1017.1,4,HF,False,NORMAL,2.1
Mathilde BISGAARD,HHE,Horsens Håndbold Elite,1014.7,1,MV,True,NORMAL,-0.3
Mayssa PESSOA,HHE,Horsens Håndbold Elite,999.7,2,MV,True,NORMAL,-15.3
