team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
ARH,Århus Håndbold,2,1487.7,1497.7,1477.7,55,27.5,2,2,1,{'MV': 2}
AAH,Aalborg Håndbold,20,1413.6,1800.8,1132.7,479,24.0,15,2,7,"{'PL': 9, 'MV': 2, 'VF': 2, 'HF': 2, 'ST': 3, 'VB': 1, 'Ukendt': 1}"
SAH,SAH - Skanderborg AGF,13,1401.2,1720.9,1102.3,336,25.8,10,0,5,"{'PL': 6, 'VF': 2, 'HF': 1, 'ST': 3, 'Ukendt': 1}"
REH,Ribe-Esbjerg HH,19,1361.9,1789.7,1039.6,404,21.3,13,3,6,"{'HB': 3, 'HF': 1, 'PL': 6, 'MV': 3, 'VF': 2, 'ST': 4}"
BSH,Bjerringbro-Silkeborg,16,1359.9,1762.4,1036.7,381,23.8,9,2,6,"{'PL': 5, 'MV': 2, 'VF': 2, 'HF': 2, 'ST': 4, 'Ukendt': 1}"
SKH,Skjern Håndbold,17,1359.7,1712.8,1094.2,457,26.9,13,2,6,"{'PL': 7, 'MV': 2, 'ST': 3, 'VF': 2, 'HF': 2, 'Ukendt': 1}"
FHK,Fredericia Håndbold Klub,18,1342.9,2029.7,1011.7,482,26.8,12,3,7,"{'PL': 5, 'VF': 3, 'MV': 3, 'HF': 2, 'ST': 3, 'HB': 1, 'Ukendt': 1}"
TTH,TTH Holstebro,18,1339.4,1635.2,1013.6,402,22.3,13,2,7,"{'PL': 7, 'VF': 2, 'HB': 2, 'ST': 2, 'MV': 2, 'HF': 2, 'Ukendt': 1}"
SJH,SønderjyskE Herrehåndbold,18,1326.9,1672.1,1031.3,364,20.2,10,2,7,"{'PL': 6, 'MV': 2, 'VF': 2, 'VB': 1, 'ST': 3, 'HF': 3, 'Ukendt': 1}"
KIF,KIF Kolding,17,1312.3,1691.6,1060.8,429,25.2,9,3,6,"{'VF': 1, 'PL': 8, 'ST': 2, 'MV': 3, 'HF': 2, 'Ukendt': 1}"
GOG,GOG,19,1298.9,1774.3,1012.4,443,23.3,8,2,6,"{'PL': 8, 'VF': 2, 'ST': 3, 'HF': 2, 'Ukendt': 2, 'MV': 2}"
LTH,Lemvig-Thyborøn Håndbold,17,1259.9,1752.6,1046.7,421,24.8,9,2,7,"{'PL': 5, 'HF': 2, 'VF': 2, 'ST': 4, 'HB': 1, 'VB': 1, 'MV': 2}"
NSH,Nordsjælland Håndbold,18,1225.4,1526.2,1015.0,400,22.2,6,3,7,"{'PL': 5, 'HF': 2, 'HB': 2, 'MV': 3, 'VF': 2, 'ST': 3, 'Ukendt': 1}"
HCM,HC Midtjylland,17,1205.8,1546.3,1015.7,344,20.2,5,2,5,"{'PL': 7, 'MV': 2, 'VF': 2, 'HF': 2, 'ST': 4}"
MTH,Mors-Thy Håndbold,20,1202.1,1471.3,1044.4,404,20.2,9,3,6,"{'HF': 2, 'PL': 8, 'MV': 3, 'VF': 2, 'ST': 4, 'Ukendt': 1}"
