team_code,team_name,total_players,avg_rating,max_rating,min_rating,total_games,avg_games_per_player,elite_players,goalkeepers,positions_represented,position_distribution
AAH,Aalborg Håndbold,16,1383.2,1774.7,1108.9,427,26.7,12,2,8,"{'PL': 3, 'VF': 2, 'ST': 3, 'HF': 2, 'HB': 2, 'VB': 1, 'MV': 2, 'Ukendt': 1}"
SKH,Skjern Håndbold,14,1307.3,1667.9,1087.7,356,25.4,8,2,7,"{'PL': 4, 'HB': 2, 'VF': 2, 'HF': 1, 'ST': 2, 'MV': 2, 'Ukendt': 1}"
BSH,Bjerringbro-Silkeborg,16,1293.9,1702.7,1013.7,453,28.3,7,2,6,"{'PL': 6, 'MV': 2, 'ST': 3, 'VF': 2, 'HF': 1, 'Ukendt': 2}"
TTH,TTH Holstebro,21,1265.4,1732.6,1023.4,435,20.7,9,3,8,"{'VB': 1, 'VF': 3, 'MV': 3, 'PL': 6, 'HF': 2, 'ST': 3, 'HB': 1, 'Ukendt': 2}"
REH,Ribe-Esbjerg HH,17,1249.3,1612.5,1014.5,326,19.2,8,2,7,"{'HB': 1, 'PL': 6, 'ST': 3, 'HF': 2, 'VF': 2, 'MV': 2, 'Ukendt': 1}"
SAH,SAH - Skanderborg AGF,2,1244.2,1305.1,1183.4,47,23.5,1,2,1,{'MV': 2}
SJH,SønderjyskE Herrehåndbold,19,1234.4,1536.9,1013.5,384,20.2,6,2,8,"{'PL': 5, 'HB': 2, 'MV': 2, 'VB': 1, 'ST': 3, 'VF': 2, 'HF': 3, 'Ukendt': 1}"
MTH,Mors-Thy Håndbold,16,1231.1,1494.7,1037.3,337,21.1,7,2,7,"{'PL': 5, 'VF': 2, 'HB': 1, 'HF': 2, 'ST': 3, 'MV': 2, 'VB': 1}"
FHK,Fredericia Håndbold Klub,19,1228.0,1640.8,1037.3,387,20.4,6,3,8,"{'PL': 4, 'VB': 3, 'HB': 1, 'MV': 3, 'VF': 2, 'ST': 2, 'HF': 2, 'Ukendt': 2}"
KIF,KIF Kolding,15,1223.2,1603.2,1023.7,349,23.3,6,2,8,"{'HB': 1, 'HF': 2, 'VF': 2, 'MV': 2, 'ST': 2, 'PL': 3, 'Ukendt': 1, 'VB': 2}"
LTH,Lemvig-Thyborøn Håndbold,20,1215.5,1544.6,1029.5,370,18.5,6,3,6,"{'PL': 7, 'HF': 2, 'VF': 3, 'MV': 3, 'ST': 4, 'Ukendt': 1}"
GOG,GOG,19,1191.7,1619.0,1014.6,416,21.9,6,2,7,"{'VF': 2, 'PL': 6, 'ST': 4, 'HF': 2, 'Ukendt': 1, 'MV': 2, 'VB': 2}"
TMH,TMS Ringsted,19,1111.5,1429.1,1016.0,304,16.0,1,3,7,"{'PL': 6, 'HB': 1, 'VF': 2, 'MV': 3, 'Ukendt': 2, 'HF': 2, 'ST': 3}"
