player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
KRISTIN THORLEIFSDÓTTIR,HHE,Horsens Håndbold Elite,1585.7,28,PL,False,LEGENDARY,239.4
LAURA DAMGAARD LUND,HHE,Horsens Håndbold Elite,1466.9,10,PL,False,LEGENDARY,88.2
ANNETTE JENSEN,HHE,Horsens Håndbold Elite,1433.3000000000002,24,PL,False,LEGENDARY,122.4
MARIA MOSE VESTERGAARD,HHE,Horsens Håndbold Elite,1402.8,26,VF,False,LEGENDARY,116.6
FREDERIKKE GULMARK,HHE,Horsens Håndbold Elite,1358.7,9,PL,False,ELITE,27.0
LAURA DAMGAARD,HHE,Horsens Håndbold Elite,1298.3000000000002,11,PL,False,ELITE,70.4
NINA DANO,HHE,Horsens Håndbold Elite,1273.6,7,HB,False,ELITE,45.7
NICOLINE NØRGAARD OLSEN,HHE,Horsens Håndbold Elite,1264.7,17,HB,False,ELITE,32.5
MARIA KROGH HOLM,HHE,Horsens Håndbold Elite,1234.1999999999998,13,PL,False,NORMAL,72.6
STINE BODHOLT NIELSEN,HHE,Horsens Håndbold Elite,1234.1,23,ST,False,NORMAL,47.6
MARIA HOLM,HHE,Horsens Håndbold Elite,1199.4,15,HB,False,NORMAL,117.9
AMALIE GRØN HANSEN,HHE,Horsens Håndbold Elite,1142.5,8,VF,False,NORMAL,9.3
CLAUDIA ROMPEN,HHE,Horsens Håndbold Elite,1104.8,23,MV,True,NORMAL,6.5
ANNE-SOFIE FILTENBORG,HHE,Horsens Håndbold Elite,1096.2,15,HF,False,NORMAL,15.3
MATHILDE BISGAARD JOHANSEN,HHE,Horsens Håndbold Elite,1080.0,5,MV,True,NORMAL,0.0
EMILY STANG SANDO,HHE,Horsens Håndbold Elite,1075.8,25,MV,True,NORMAL,5.3
ANNE-SOFIE MØLDRUP FILTENBORG NIELSEN,HHE,Horsens Håndbold Elite,1074.4,11,HF,False,NORMAL,9.5
JAN LESLIE,HHE,Horsens Håndbold Elite,1068.6,9,Ukendt,False,NORMAL,-2.8
HEGE LØKEN,HHE,Horsens Håndbold Elite,1053.7,13,HF,False,NORMAL,38.7
TAMARA HAGGERTY,HHE,Horsens Håndbold Elite,1049.3,26,ST,False,NORMAL,34.3
MATILDE VESTERGAARD,HHE,Horsens Håndbold Elite,1035.7,8,VF,False,NORMAL,20.7
MATILDE MARIE VESTERGAARD,HHE,Horsens Håndbold Elite,1020.2,5,VF,False,NORMAL,5.2
