player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
PETER BALLING,KIF,KIF Kolding,1603.2,30,HB,False,LEGENDARY,315.8
ANDREAS FLODMAN,KIF,KIF Kolding,1458.6999999999998,22,HF,False,LEGENDARY,153.6
ANDREAS VÆVER,KIF,KIF Kolding,1366.5,30,VF,False,ELITE,142.1
TIM WINKLER,KIF,KIF Kolding,1279.3,28,MV,True,ELITE,159.7
ALEXANDER MORSTEN,KIF,KIF Kolding,1278.3,30,ST,False,ELITE,90.1
THOMAS BOILESEN,KIF,KIF Kolding,1270.6,28,PL,False,ELITE,218.6
BENJAMIN PEDERSEN,KIF,KIF Kolding,1241.5,30,ST,False,NORMAL,106.6
ÁGÚST ELI BJÖRGVINSSON,KIF,KIF Kolding,1201.6,30,MV,True,NORMAL,186.6
KRISTOFFER VESTERGAARD,KIF,KIF Kolding,1177.8,25,HF,False,NORMAL,75.2
CHRIS JØRGENSEN,KIF,KIF Kolding,1129.0,23,PL,False,NORMAL,114.0
ANDREAS TOUDAHL,KIF,KIF Kolding,1103.3,7,Ukendt,False,NORMAL,-1.4
NICOLAJ JØRGENSEN,KIF,KIF Kolding,1085.7,24,VF,False,NORMAL,70.7
TROELS VEJBY JØRGENSEN,KIF,KIF Kolding,1074.6,7,VB,False,NORMAL,10.4
JENS SVANE PESCHARDT,KIF,KIF Kolding,1053.7,15,PL,False,NORMAL,38.7
VETLE RØNNINGEN,KIF,KIF Kolding,1023.7,20,VB,False,NORMAL,8.7
