player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
ANNE-SOFIE MØLDRUP FILTENBORG NIELSEN,HHE,Horsens Håndbold Elite,1058.4,16,HF,False,NORMAL,43.4
CECILIE GREVE,NFH,Nykøbing F. Håndbold,1058.2,31,MV,True,NORMAL,0.2
NATASJA CLAUSEN,AJK,Ajax København,1056.9,7,MV,True,NORMAL,-0.2
LEONORA DEMAJ,RIN,Ringkøbing Håndbold,1054.2,21,HF,False,NORMAL,39.2
MONIKA KONGSGAARD,RAN,Randers HK,1051.9,30,MV,True,NORMAL,0.5
NORA PERSSON,AAU,Aarhus United,1051.0,21,MV,True,NORMAL,-0.3
SOPHIE MOTH,HOL,Holstebro Håndbold,1050.9,24,MV,True,NORMAL,2.8
SARAH VEST KIRKELØKKE,SKB,Skanderborg Håndbold,1049.8,24,HF,False,NORMAL,9.1
FILIPPA IDÉHN,SVK,Silkeborg-Voel KFUM,1049.6999999999998,31,MV,True,NORMAL,4.1
EMMA KIELLBERG JØRGENSEN,AJK,Ajax København,1046.9,24,HF,False,NORMAL,31.9
ELIN THORSTEINSDOTTIR,RIN,Ringkøbing Håndbold,1045.8,28,MV,True,NORMAL,-1.7
SUSANNE AASTRUP MADSEN,HHE,Horsens Håndbold Elite,1045.8,14,HF,False,NORMAL,30.8
ELI RAASOK,RAN,Randers HK,1045.7,17,MV,True,NORMAL,1.0
EMILY STANG SANDO,HHE,Horsens Håndbold Elite,1045.4,27,MV,True,NORMAL,1.3
ANNA VENG,SKB,Skanderborg Håndbold,1044.5,27,MV,True,NORMAL,0.3
STINE BONDE,SVK,Silkeborg-Voel KFUM,1043.6,28,MV,True,NORMAL,-1.0
FREJA HAUGE HANSEN,HHE,Horsens Håndbold Elite,1031.6,10,HF,False,NORMAL,16.6
SANNA CHARLOTTE SOLBERG-ISAKSEN,TES,Team Esbjerg,1030.6,6,HF,False,NORMAL,15.6
CLARA KOFOD ESSEMANN-BECK,KBH,København Håndbold,1029.2,18,HF,False,NORMAL,14.2
NANNA LØVIG RASMUSSEN,HOL,Holstebro Håndbold,1028.7,15,HF,False,NORMAL,13.7
BEYZA IREM TÜRKOGLU,TES,Team Esbjerg,1028.4,5,HF,False,NORMAL,13.4
MARIE-LOUISE SUNDGAARD,RIN,Ringkøbing Håndbold,1027.6,9,HF,False,NORMAL,12.6
SIMONE PEDERSEN,AJK,Ajax København,1027.2,10,HF,False,NORMAL,12.2
RIKKE JENSEN,RIN,Ringkøbing Håndbold,1027.1,19,MV,True,NORMAL,12.1
SIGNE VETTER LAURSEN,VHK,Viborg HK,1026.8,10,HF,False,NORMAL,11.8
ISABELLA FAZEKAS JAKOBSEN,HOL,Holstebro Håndbold,1022.0,6,HF,False,NORMAL,7.0
JO LUND NIELSEN,NFH,Nykøbing F. Håndbold,1021.5,6,HF,False,NORMAL,6.5
RIKKE AASTRUP NIELSEN,HOL,Holstebro Håndbold,1021.3,5,HF,False,NORMAL,6.3
MARIJA OBRADOVIC,HHE,Horsens Håndbold Elite,1021.1,9,HF,False,NORMAL,6.1
RIKKE VORGAARD,AJK,Ajax København,1020.3,5,HF,False,NORMAL,5.3
MARIT HUIBERTS,RIN,Ringkøbing Håndbold,1019.3,24,MV,True,NORMAL,4.3
DINAH ECKERLE,TES,Team Esbjerg,1018.7,31,MV,True,NORMAL,3.7
LIV SVEINBJØRNSDÓTTIR POULSEN,AJK,Ajax København,1017.6,10,HF,False,NORMAL,2.6
MATHILDE BISGAARD JOHANSEN,HHE,Horsens Håndbold Elite,1015.0,6,PL,True,NORMAL,0.0
MATHILDE RAHBEK JUNCKER,AJK,Ajax København,1015.0,15,PL,True,NORMAL,0.0
RAKUL WARDUM,SKB,Skanderborg Håndbold,1015.0,5,PL,True,NORMAL,0.0
ANNIKA FRIDHEIM PETERSEN,NFH,Nykøbing F. Håndbold,1014.4,10,MV,True,NORMAL,-0.6
ANNE CHRISTINE AMDISEN BOSSEN,HOL,Holstebro Håndbold,1014.3,21,MV,True,NORMAL,-0.7
ALTHEA REBECCA REINHARDT,ODE,Odense Håndbold,1014.3,17,MV,True,NORMAL,-0.7
MARTINA HELENE THÖRN,ODE,Odense Håndbold,1014.2,19,MV,True,NORMAL,-0.8
HEINE MOGENSEN ERIKSEN,AAU,Aarhus United,1013.8,5,HF,False,NORMAL,-1.2
CECILIE KONGSTAD,RIN,Ringkøbing Håndbold,1013.7,8,MV,True,NORMAL,-1.3
CHANA MASSON,HHE,Horsens Håndbold Elite,1013.0,24,MV,True,NORMAL,-2.0
JAN LESLIE,HHE,Horsens Håndbold Elite,1012.4,6,HF,False,NORMAL,-2.6
