player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
Stine Ruscetta SKOGRAND,SVK,Silkeborg-Voel KFUM,1225.5,6,PL,False,NORMAL,225.5
Jette HANSEN,SVK,Silkeborg-Voel KFUM,1221.2,6,PL,False,NORMAL,221.2
Sofie Bæk ANDERSEN,SVK,Silkeborg-Voel KFUM,1220.8,6,PL,False,NORMAL,220.8
Rikke IVERSEN,SVK,Silkeborg-Voel KFUM,1214.5,5,ST,False,NORMAL,214.5
Lea HANSEN,SVK,Silkeborg-Voel KFUM,1210.6,5,HF,False,NORMAL,210.6
Anna Sophie Linde OKKELS,SVK,Silkeborg-Voel KFUM,1206.3,4,PL,False,NORMAL,206.3
