season,team_code,team_name,final_rating,games,elite_status,momentum,avg_goals_for,avg_goals_against,avg_efficiency_score,start_rating,rating_change
2019-2020,AAH,Aalborg Håndbold,2031.3,24,ELITE,12.55,29.4,26.5,16.0,2031.2826810161182,0.017318983881750682
2019-2020,BSH,Bjerringbro-Silkeborg,1955.9,24,ELITE,38.57,29.9,28.0,17.6,1955.9034556260142,-0.0034556260141016537
2019-2020,SAH,SAH - Skanderborg AGF,1726.9,24,STRONG,87.66,28.3,28.0,21.4,1726.8516015340701,0.04839846592994945
2019-2020,TTH,TTH Holstebro,1701.0,24,STRONG,-28.9,29.5,26.0,17.8,1701.0464545383695,-0.04645453836951674
2019-2020,ARH,Århus Håndbold,1695.8,24,STRONG,12.76,28.2,28.1,21.7,1695.757008771657,0.04299122834299851
2019-2020,SKH,Skjern Håndbold,1685.3,24,STRONG,32.54,28.5,27.2,13.8,1685.2645836733245,0.035416326675431264
2019-2020,GOG,GOG,1645.4,24,STRONG,-35.81,30.4,28.6,14.5,1645.3704365702138,0.02956342978632165
2019-2020,SJH,SønderjyskE Herrehåndbold,1587.6,24,NORMAL,72.36,27.3,27.5,13.6,1587.6116033681296,-0.011603368129726732
2019-2020,REH,Ribe-Esbjerg HH,1521.8,24,NORMAL,12.09,27.0,27.0,13.7,1521.7741923271044,0.02580767289555297
2019-2020,MTH,Mors-Thy Håndbold,1511.9,24,NORMAL,-54.13,27.2,27.5,12.2,1511.9279858104453,-0.027985810445215975
2019-2020,LTH,Lemvig-Thyborøn Håndbold,1326.7,24,NORMAL,13.32,25.4,27.3,16.6,1326.650839215949,0.049160784051082373
2019-2020,FHK,Fredericia Håndbold Klub,1318.3,24,NORMAL,-2.65,28.6,30.7,14.3,1318.333385561653,-0.033385561652949036
2019-2020,NSH,Nordsjælland Håndbold,1141.8,24,NORMAL,-23.62,25.8,30.0,9.7,1141.7803933918099,0.019606608190088082
2019-2020,KIF,KIF Kolding,1045.0,24,NORMAL,-42.75,27.2,30.4,14.5,1044.9598850713028,0.04011492869722133
