season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2022-2023,AAH,Aalborg Håndbold,2347.0,38,ELITE,-1.83,2346.9757624605472,0.024237539452769852
2022-2023,BSH,Bjerringbro-Silkeborg,2232.6,32,ELITE,56.51,2232.6017185468204,-0.0017185468204843346
2022-2023,GOG,GOG,2140.8,37,ELITE,20.92,2140.768783344338,0.03121665566231968
2022-2023,KIF,KIF Kolding,2053.5,32,ELITE,34.95,2053.482025244436,0.017974755563955114
2022-2023,ARH,Århus Håndbold,1912.7,32,ELITE,-56.2,1912.673446456645,0.026553543355021247
2022-2023,FHK,Fredericia Håndbold Klub,1894.0,38,ELITE,-36.21,1893.9780953908194,0.021904609180637635
2022-2023,REH,Ribe-Esbjerg HH,1862.5,32,ELITE,2.79,1862.5100173929923,-0.01001739299226756
2022-2023,SKH,Skjern Håndbold,1806.1,37,ELITE,3.54,1806.0516460224942,0.048353977505712464
2022-2023,NSH,Nordsjælland Håndbold,1508.2,30,NORMAL,62.55,1508.2050379259954,-0.00503792599533881
2022-2023,SJH,SønderjyskE Herrehåndbold,1491.1,30,NORMAL,-7.6,1491.050017854814,0.049982145185822446
2022-2023,MTH,Mors-Thy Håndbold,1422.0,30,NORMAL,15.08,1422.0466021047037,-0.046602104703652
2022-2023,LTH,Lemvig-Thyborøn Håndbold,1295.6,32,NORMAL,-6.14,1295.557324937766,0.042675062233911376
2022-2023,TTH,TTH Holstebro,1132.1,30,NORMAL,-73.57,1132.0835798771318,0.01642012286811223
2022-2023,HCM,HC Midtjylland,1096.8,26,NORMAL,0.03,1096.7826976748486,0.017302325151376863
2022-2023,TSY,Team Sydhavsøerne,64.5,2,NORMAL,-667.77,64.46751036965475,0.03248963034525332
