season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2020-2021,TTH,TTH Holstebro,2444.6,35,ELITE,36.56,2444.6027316256636,-0.0027316256637277547
2020-2021,GOG,GOG,2215.4,35,ELITE,-0.8,2215.38528692379,0.014713076210227882
2020-2021,AAH,Aalborg Håndbold,2033.4,35,ELITE,-8.04,2033.414045624781,-0.014045624780919752
2020-2021,MTH,Mors-Thy Håndbold,1961.9,27,ELITE,154.75,1961.8774715476427,0.02252845235739187
2020-2021,BSH,Bjerringbro-Silkeborg,1871.1,35,ELITE,-29.9,1871.1431471818607,-0.04314718186083155
2020-2021,SAH,SAH - Skanderborg AGF,1829.9,30,ELITE,6.15,1829.934722497465,-0.03472249746482703
2020-2021,SKH,Skjern Håndbold,1697.7,30,STRONG,-35.65,1697.7209151403954,-0.02091514039534559
2020-2021,SJH,SønderjyskE Herrehåndbold,1664.1,30,STRONG,-1.92,1664.0644420974345,0.035557902565415134
2020-2021,SFH,Skive fH,1644.8,2,STRONG,122.38,1644.7649476378047,0.03505236219530161
2020-2021,KIF,KIF Kolding,1587.5,30,NORMAL,-20.27,1587.4501694101884,0.049830589811563186
2020-2021,LTH,Lemvig-Thyborøn Håndbold,1273.8,27,NORMAL,37.75,1273.7919667371589,0.008033262841081523
2020-2021,REH,Ribe-Esbjerg HH,1186.4,27,NORMAL,-63.09,1186.361921773474,0.03807822652606774
2020-2021,FHK,Fredericia Håndbold Klub,1184.8,27,NORMAL,-40.1,1184.7503867353914,0.04961326460852433
2020-2021,AJH,Ajax København,1155.2,2,NORMAL,-122.38,1155.2350523621951,-0.03505236219507424
2020-2021,TMH,TMS Ringsted,1006.8,24,NORMAL,8.38,1006.817437766611,-0.017437766611010375
