season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2023-2024,BSH,Bjerringbro-Silkeborg,2212.6,32,ELITE,11.53,2212.6380528360364,-0.03805283603651333
2023-2024,AAH,Aalborg Håndbold,2170.9,37,ELITE,-6.96,2170.910377978391,-0.010377978390806675
2023-2024,FHK,Fredericia Håndbold Klub,2087.6,38,ELITE,64.62,2087.5555558416822,0.04444415831767401
2023-2024,KIF,KIF Kolding,1901.7,30,ELITE,99.38,1901.6916004610202,0.008399538979801946
2023-2024,SKH,Skjern Håndbold,1881.8,37,ELITE,-15.37,1881.8325945832719,-0.03259458327192988
2023-2024,GOG,GOG,1849.9,32,ELITE,30.41,1849.8526332246252,0.04736677537493961
2023-2024,REH,Ribe-Esbjerg HH,1785.7,38,ELITE,12.16,1785.6630438458192,0.036956154180870726
2023-2024,TTH,TTH Holstebro,1729.9,32,ELITE,-7.97,1729.919042935909,-0.01904293590882844
2023-2024,SAH,SAH - Skanderborg AGF,1673.8,30,STRONG,-11.73,1673.807004653062,-0.007004653062040234
2023-2024,MTH,Mors-Thy Håndbold,1645.0,32,STRONG,8.5,1645.0405331869113,-0.04053318691126151
2023-2024,SJH,SønderjyskE Herrehåndbold,1487.9,30,NORMAL,-74.97,1487.9363661845414,-0.03636618454129348
2023-2024,TMH,TMS Ringsted,1431.5,32,NORMAL,-36.29,1431.5134269865853,-0.01342698658527297
2023-2024,LTH,Lemvig-Thyborøn Håndbold,1150.2,26,NORMAL,49.61,1150.1996812304387,0.0003187695613178221
2023-2024,NSH,Nordsjælland Håndbold,1108.0,30,NORMAL,-82.59,1108.0283646649095,-0.02836466490953171
2023-2024,SFH,Skive fH,1079.8,2,NORMAL,-160.08,1079.8304217825348,-0.03042178253485872
