season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2017-2018,GOG,GOG,2158.9,38,ELITE,0.72,2158.912961504932,-0.012961504931809031
2017-2018,BSH,Bjerringbro-Silkeborg,2108.5,36,ELITE,10.05,2108.5079845495734,-0.007984549573393451
2017-2018,SKH,Skjern Håndbold,1947.0,37,ELITE,-39.34,1946.9997082062198,0.0002917937802067172
2017-2018,AAH,Aalborg Håndbold,1732.2,37,ELITE,-13.02,1732.1809351912354,0.01906480876459682
2017-2018,TTH,TTH Holstebro,1696.1,32,STRONG,59.35,1696.0720189729393,0.0279810270606049
2017-2018,SAH,SAH - Skanderborg AGF,1631.8,29,STRONG,166.41,1631.8446658406988,-0.04466584069882629
2017-2018,KIF,KIF Kolding,1591.0,32,NORMAL,4.23,1590.9975263438994,0.002473656100619337
2017-2018,MTH,Mors-Thy Håndbold,1508.5,29,NORMAL,-28.42,1508.471614552617,0.02838544738301607
2017-2018,REH,Ribe-Esbjerg HH,1366.3,29,NORMAL,-10.46,1366.3053485787404,-0.005348578740495213
2017-2018,ARH,Århus Håndbold,1311.8,32,NORMAL,-2.77,1311.7617632175331,0.03823678246681084
2017-2018,NSH,Nordsjælland Håndbold,1258.3,32,NORMAL,-58.81,1258.3260507487466,-0.026050748746683894
2017-2018,TMT,TM Tønder Håndbold,1189.3,26,NORMAL,85.91,1189.3348367325168,-0.03483673251685104
2017-2018,SJH,SønderjyskE Herrehåndbold,889.9,29,NORMAL,-49.95,889.934304705266,-0.03430470526598128
2017-2018,HCM,HC Midtjylland,409.2,26,NORMAL,39.83,409.1722005260177,0.02779947398227023
