season,team_code,team_name,final_rating,games,elite_status,momentum,start_rating,rating_change
2018-2019,AAH,Aalborg Håndbold,2062.0,37,ELITE,12.14,2061.9648823685934,0.03511763140659241
2018-2019,SKH,Skjern Håndbold,2053.9,37,ELITE,48.47,2053.936774091551,-0.036774091550796584
2018-2019,SAH,SAH - Skanderborg AGF,1994.7,32,ELITE,35.62,1994.7195413798,-0.019541379799875358
2018-2019,ARH,Århus Håndbold,1883.8,32,ELITE,94.71,1883.7924539046176,0.007546095382394924
2018-2019,TTH,TTH Holstebro,1871.1,31,ELITE,-1.5,1871.0553614151413,0.04463858485860328
2018-2019,GOG,GOG,1675.5,37,STRONG,-60.66,1675.4648760705006,0.03512392949937748
2018-2019,TMT,TM Tønder Håndbold,1605.0,1,STRONG,398.06,1604.9573510257069,0.042648974293115316
2018-2019,REH,Ribe-Esbjerg HH,1597.4,30,NORMAL,-21.01,1597.4456981791259,-0.045698179125793104
2018-2019,MTH,Mors-Thy Håndbold,1587.0,29,NORMAL,50.37,1586.9547597792484,0.045240220751566085
2018-2019,BSH,Bjerringbro-Silkeborg,1504.7,35,NORMAL,-74.26,1504.704270940833,-0.004270940833066561
2018-2019,SJH,SønderjyskE Herrehåndbold,1493.9,32,NORMAL,-13.82,1493.9034828847286,-0.003482884728555291
2018-2019,KIF,KIF Kolding,1105.0,31,NORMAL,67.28,1105.0183476528068,-0.018347652806824044
2018-2019,NSH,Nordsjælland Håndbold,1053.0,30,NORMAL,-29.53,1053.0240235263084,-0.024023526308383225
2018-2019,LTH,Lemvig-Thyborøn Håndbold,1021.5,30,NORMAL,-33.75,1021.5032580072593,-0.003258007259319129
2018-2019,TMH,TMS Ringsted,862.7,26,NORMAL,-50.16,862.7046416018311,-0.0046416018310537766
